# t	m[free_layer]_x	m[free_layer]_y	m[free_layer]_z	m[fixed_layer]_x	m[fixed_layer]_y	m[fixed_layer]_z
0	0.003072637744034	-0.000568253264420523	0.951219361017525	-5.29515453996012e-05	1.26458599212304e-05	0.999728156500577
1.51958774173752e-13	0.00307319081058537	-0.000563294930441562	0.951179577000146	-5.26462434259387e-05	1.25389601930538e-05	0.999728344575375
8.05245781303718e-13	0.00307547274695664	-0.000541898404595606	0.951009432089833	-5.13505512077527e-05	1.22708495439908e-05	0.99972953424563
1.35319985766525e-12	0.00307726883959159	-0.000523853483640344	0.95086792332334	-5.03221696646037e-05	1.22765565285149e-05	0.999731232178699
2.30209776129435e-12	0.00308010056849889	-0.000492382705666373	0.950625975911282	-4.87805367249694e-05	1.27170759787087e-05	0.999735111467177
3.21884414621206e-12	0.00308250738536693	-0.000461739078465926	0.950396483149547	-4.76788445124484e-05	1.35489302152142e-05	0.999737617414693
4.10829467483365e-12	0.00308453674909239	-0.000431782547515247	0.950178564491233	-4.70636194502933e-05	1.46051993987342e-05	0.999737188623981
5.04138519885265e-12	0.00308634918825358	-0.000400131871647643	0.949955796797602	-4.69409531678197e-05	1.5815941812e-05	0.99973429600039
5.74677516174908e-12	0.00308748956094023	-0.000376052099334035	0.949791710690301	-4.72025438917782e-05	1.67042804456476e-05	0.99973166561476
6.09601758419676e-12	0.00308798646633977	-0.000364090388522528	0.949711916780841	-4.7438588087001e-05	1.71079544492907e-05	0.999730468920227
6.66654356118482e-12	0.00308868734621197	-0.000344482442860579	0.949583684365015	-4.79621908780216e-05	1.76949590607076e-05	0.999728751943866
7.42022301418484e-12	0.00308940862100782	-0.000318458742417388	0.949418430835878	-4.88800561109989e-05	1.82868260456438e-05	0.99972678917515
7.76433380492704e-12	0.00308967066506704	-0.000306539868641785	0.949344607324706	-4.93664837787033e-05	1.8469692710179e-05	0.999725885527853
8.17145430567811e-12	0.00308992846052694	-0.000292409754599129	0.949258632529549	-4.9983416913746e-05	1.8608456143527e-05	0.999724742312532
8.59655873847683e-12	0.00309013506778671	-0.000277619752926644	0.949170493695292	-5.06629798581341e-05	1.86608539264787e-05	0.999723437571841
8.88345903355155e-12	0.00309023699605229	-0.000267615947638467	0.94911198286035	-5.1135092949227e-05	1.86422515259657e-05	0.999722503660863
9.35995189388696e-12	0.00309034212659793	-0.00025096396149629	0.949016593832453	-5.19302908717334e-05	1.85136592562264e-05	0.999720917307292
9.91685715869926e-12	0.00309036263741802	-0.000231442190019808	0.948908025691554	-5.28558546857749e-05	1.82105179404091e-05	0.999719157654366
1.00279949435561e-11	0.00309035419364995	-0.000227539389888182	0.948886749007979	-5.30368947047364e-05	1.81306231720169e-05	0.999718843739644
1.01737860049157e-11	0.0030903368193676	-0.000222416203854712	0.948859035532625	-5.32723139419153e-05	1.80160811833934e-05	0.999718452524971
1.05654027006827e-11	0.00309025264664319	-0.000208633482806655	0.948785722341285	-5.38882584227097e-05	1.76562812547141e-05	0.999717551968087
1.15191720312624e-11	0.00308982446626661	-0.000174946758858457	0.948614267008898	-5.52364102546967e-05	1.64858393796849e-05	0.999716533616793
1.1780156272834e-11	0.00308965208469888	-0.000165700639148091	0.948569156792513	-5.55554305052448e-05	1.61020168445388e-05	0.999716553237492
1.22647216583419e-11	0.00308926802541923	-0.000148501038714622	0.948487515447692	-5.60805420915705e-05	1.53287072708287e-05	0.999716886658667
1.25782342759606e-11	0.00308897940047069	-0.000137354569314441	0.948436189711818	-5.6368710595604e-05	1.47918645048967e-05	0.999717264616761
1.34760690265846e-11	0.00308797423781789	-0.000105351683997793	0.948295907073524	-5.69494832891655e-05	1.31430887666121e-05	0.999718749955839
1.40064632332468e-11	0.00308725825022916	-8.63915246392178e-05	0.948217864324423	-5.7113771083342e-05	1.21269100248326e-05	0.999719729242643
1.4678450360881e-11	0.00308621774735925	-6.23110870448126e-05	0.948124339234271	-5.71304189037429e-05	1.08424854898876e-05	0.999720955222806
1.51479265054705e-11	0.00308539896334157	-4.54478569524735e-05	0.948062655555549	-5.70218289385517e-05	9.97435524518819e-06	0.999721815414625
1.5929342126098e-11	0.00308387324302914	-1.73165073504703e-05	0.947966797987701	-5.6639586546251e-05	8.61659966061413e-06	0.999723280517697
1.67540553279198e-11	0.00308202855161697	1.24615116035897e-05	0.947875095180703	-5.60102169631855e-05	7.36062294424648e-06	0.999724891392224
1.74854200780472e-11	0.00308018467465591	3.89400781217305e-05	0.947802053976583	-5.53068958566098e-05	6.43819009526367e-06	0.99972628134056
1.829830259795e-11	0.00307789569383955	6.84447363571745e-05	0.947730132281444	-5.44268098838805e-05	5.65209881275579e-06	0.999727542116863
1.91744559602317e-11	0.00307516411872623	0.000100301320724185	0.947663661931755	-5.34411668088893e-05	5.08949127050453e-06	0.99972826209462
1.93587718645504e-11	0.0030745512035568	0.000107011101322778	0.947651148359937	-5.32378228443295e-05	5.00903371752417e-06	0.999728306610205
1.96774366102351e-11	0.0030734597362931	0.000118618469984969	0.947630719860844	-5.28906668221784e-05	4.90072894779741e-06	0.999728296776279
1.9815991376663e-11	0.0030729731761994	0.000123666791901192	0.947622318230476	-5.27450335848695e-05	4.86430523382318e-06	0.99972826073195
2.06768042871428e-11	0.00306977476711982	0.000155061625194663	0.947576628129992	-5.19068914474653e-05	4.78562453269911e-06	0.999727625659009
2.11391108548934e-11	0.00306792898367594	0.000171941343222881	0.947556719411223	-5.15226157139061e-05	4.83549867185899e-06	0.999727052769228
2.19713829788313e-11	0.00306438989312679	0.000202341114557541	0.947529013934497	-5.0977986262733e-05	5.04630045148091e-06	0.999725777795232
2.29570161707883e-11	0.00305981646786345	0.00023835869953528	0.947509634479562	-5.0614970992902e-05	5.42679342078477e-06	0.999724110181126
2.36553510428057e-11	0.00305632829475449	0.000263871831361179	0.947504637105368	-5.05538593044996e-05	5.72372674600241e-06	0.999722942788278
2.42743263012072e-11	0.00305306243871069	0.00028647548269613	0.947506198700597	-5.06331057478134e-05	5.97040101999643e-06	0.999721951776521
2.48456155118587e-11	0.00304990423602391	0.000307323058961189	0.947512578081435	-5.08070253522886e-05	6.15610068886186e-06	0.999721106397464
2.55094396327594e-11	0.00304606354824609	0.000331524327167138	0.947525903472379	-5.11202024432462e-05	6.30371426024132e-06	0.999720234839168
2.57501455643658e-11	0.00304462638318927	0.000340291784884381	0.947532284037077	-5.12557005816841e-05	6.3318713535364e-06	0.999719966056114
2.66445076359957e-11	0.00303907957847434	0.000372830062194443	0.947563205624554	-5.1858373836039e-05	6.32088110512068e-06	0.999719186907768
2.69258362203635e-11	0.00303726899762522	0.00038305010311765	0.947575251484392	-5.20692886338212e-05	6.27278449515871e-06	0.999719033149402
2.71545005565011e-11	0.00303577403515079	0.000391351846085595	0.947585862462665	-5.22490789626057e-05	6.21848217578571e-06	0.999718938870787
2.72787776075136e-11	0.00303495276524689	0.00039586184328619	0.947591937888867	-5.23499372284274e-05	6.18324875655855e-06	0.99971889917686
2.76744437115699e-11	0.00303229913724194	0.000410207304866471	0.947612661932468	-5.26635249151276e-05	6.03833723729503e-06	0.99971884800389
2.82119152744079e-11	0.00302859638541005	0.000429667943539459	0.947644275039871	-5.3103181380251e-05	5.7702127340008e-06	0.99971893142155
2.89390331503669e-11	0.00302341070789081	0.000455942918614095	0.94769322622847	-5.36720527703025e-05	5.27988295015523e-06	0.999719316580309
2.97675921458119e-11	0.00301726173350958	0.000485803284553045	0.947757581613213	-5.42612286572858e-05	4.55416995106797e-06	0.999720086478716
3.0076410264326e-11	0.00301490588805473	0.000496909562624907	0.947783881494771	-5.44587093023156e-05	4.24035668874636e-06	0.999720454641501
3.0368747601463e-11	0.00301264662760956	0.000507408381317924	0.94780988212951	-5.46242005649283e-05	3.92910110865807e-06	0.999720812853171
3.08326817919869e-11	0.00300899986290145	0.000524043811415629	0.94785340769007	-5.4855677744311e-05	3.39882895245896e-06	0.999721433678414
3.14709056201495e-11	0.00300385347241807	0.000546883590145306	0.947917699995158	-5.50982220199176e-05	2.62386163308617e-06	0.999722326612161
